标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签,城市
南北通透 精装修 2室2厅 满五 住房 楼层好 视野无遮挡,162,18236元/㎡,威尼斯水城第十九街区,浦口,2,88.84㎡,南北,2019年建造,"['南北', '热门小区', '近地铁', '新上小区']",南京
房源采光好，南北通透，业主诚意出,345,51516元/㎡,王府园小区,秦淮,2,66.97㎡,南,1988年建造,"['南', '房东急售']",南京
1号线地铁站旁 百小电梯三房 3楼 采光不挡 性价比不错 诚,318,32937元/㎡,金王府小区,江宁,3,96.55㎡,南北,2013年建造,"['南北', '满二年', '近地铁', '绿化率高']",南京
东渡国际青年城全南两房，拎包入住，户型方正，采光好,263,32350元/㎡,东渡国际青年城,江宁,2,81.3㎡,南北,2011年建造,"['南北', '热门小区', '配套成熟', '房东急售']",南京
报价再降五万 价好谈 精装两室 看房有钥匙房东急置换诚意买房,105,19277元/㎡,燕江园小区,鼓楼,2,54.47㎡,南北,1996年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
商品房住宅 3室2厅2卫 108m 南北通透 约475万,475,43982元/㎡,华润置地中心·云上润府,雨花台,3,108㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '高绿化率']",南京
南北通透 3室2厅 尧顺佳园(南区),169,19426元/㎡,尧顺佳园(北区),栖霞,3,87㎡,南北,2000年建造,['南北'],南京
低总价 银城东苑 精装修 电梯房 房东急置换 诚意买房,418,45694元/㎡,银城东苑,玄武,2,91.48㎡,南北,2006年建造,"['南北', '满五年', '近地铁']",南京
降价40万 南部新城 多层洋房 豪华装修 6号线地铁 户型好,189,30994元/㎡,龙苑新寓一村,秦淮,2,60.98㎡,南北,1998年建造,"['南北通透', '满五', '房东急售']",南京
天润城第六街区 南北通透 满二 2室2厅 精装修 房东急置换,124,13778元/㎡,天润城第六街区,浦口,2,90㎡,南北,2008年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
新街口核心 地铁口 顶奢商圈 特惠19万 七恒科技 豪宅公寓,318,53000元/㎡,香港置地·金陵中環,秦淮,1,60㎡,南北,,['多轨交'],南京
3室2厅 87平 满二 保利梧桐语 电梯房 房东急置换,180,20600元/㎡,保利梧桐语,江宁,3,87.38㎡,南,2016年建造,"['南', '满二年', '近地铁']",南京
精装修 威尼斯水城十三街区 三室二厅一卫 自住保养非常好,165,17327元/㎡,威尼斯水城第十三街区,浦口,3,95.23㎡,南北,2013年建造,"['南北', '近地铁', '车位充足', '多人关注']",南京
房源采光好，南北通透，业主诚意出,165,18691元/㎡,燕江新城山水苑,栖霞,3,88.28㎡,南,2013年建造,"['南', '满二年']",南京
尧化门精装三室四室，来电立减20万，高科大品牌，专车接,335,31019元/㎡,高科·紫尧星院,栖霞,3,108㎡,南,,['车位充足'],南京
苜蓿园大街月牙湖 梅花山庄丽景苑 全明三室二厅低楼层 精装修,430,41271元/㎡,梅花山庄,秦淮,3,104.19㎡,南北,2000年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
银城东苑中心位置 中高楼层 紫金山住宅 理工不占用 低价急售,598,45304元/㎡,银城东苑,玄武,3,132㎡,南北,2006年建造,"['南北', '配套成熟', '满五', '房东急售']",南京
珑湾花园(二期) 朝南 电梯房 满五 精装修 看房方便 有钥,305,34394元/㎡,珑湾花园(二期),江宁,3,88.68㎡,南,2013年建造,"['南', '满五年', '近地铁']",南京
文鼎广场 地铁交院站 中粮悦天地 4.8米挑高现房,55,11000元/㎡,中粮悦天地公寓,江宁,2,50㎡,南北,2019年建造,"['南北', '有电梯', '近地铁', '次新房']",南京
江北核心区 三线地铁 育英二外 特惠9万 央企精装 万科物业,336,34640元/㎡,中铁建·万科花语熙岸,浦口,3,97㎡,南,,"['厨卫全明', '车位充足']",南京
雨花区禹洲吉庆里3室2厅1卫1厨1阳台,430,48693元/㎡,禹洲吉庆里,雨花台,3,88.31㎡,南北,2018年建造,"['南北', '次新房']",南京
金域蓝湾 高性价比 还有一套27楼急售 90平才报350W~,347,38629元/㎡,万科金域蓝湾,江宁,3,89.83㎡,南北,2014年建造,"['南北', '满二年', '近地铁']",南京
清盘特惠！江宁大学城旁！低密度花园洋房！地铁四站南京南站！,107.7,12466元/㎡,红豆香江华庭,江宁,3,86.4㎡,南北,2019年建造,"['南北', '满二年', '次新房', '多人关注']",南京
玄武湖畔 中央门小市地铁口 满五 精装3室 地下室有钥匙,260,33402元/㎡,泰和园,鼓楼,3,77.84㎡,南北,2004年建造,"['热门小区', '南北通透', '配套成熟']",南京
南部新城次新房，未住过，业主急售,428,46426元/㎡,保利堂悦,秦淮,3,92.19㎡,南,2018年建造,"['南', '热门小区', '稀缺户型']",南京
锁金村 板仓街 南师大 南北两房 三楼 低总价 诚售 采光好,145,31639元/㎡,南京师范大学紫金校区教工宿舍,玄武,2,45.83㎡,南,1998年建造,"['南', '价格优惠', '房东急售', '随时可看']",南京
房源采光好，南北通透，业主诚意出,134,19588元/㎡,紫杨佳园,秦淮,2,68.41㎡,南北,2017年建造,"['南北', '热门小区', '近地铁', '新上小区']",南京
开春钜惠！三号线地铁口50米，隔江就是鼓楼，免费专车接,264,22957元/㎡,苏宁环球·荣锦瑞府,浦口,3,115㎡,南,,"['大户型', '多轨交', '高绿化率']",南京
金陵小区 婚装两房 刚需 南北双阳台 急售,129,23036元/㎡,金陵新八村,鼓楼,2,56㎡,南北,2000年建造,"['南北', '热门小区', '近地铁', '房东急售']",南京
南北通透 豪华装修 东井村41号 3室2厅 满五 78平米,198,25385元/㎡,东井村41号小区,栖霞,3,78㎡,南,2002年建造,"['南', '满五年', '近地铁']",南京
精装修 2室1厅 82平 天元城 朝南 楼层好 视野无遮挡,234,28320元/㎡,天元城,江宁,2,82.63㎡,南,2007年建造,"['南', '热门小区', '近地铁', '房东急售']",南京
正南 3室2厅 月牙湖花园 精装修,515,45608元/㎡,月牙湖花园,秦淮,3,112.92㎡,南,1998年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
鼓楼金陵小区.中冶锦绣和轩优惠多多,332,40000元/㎡,中冶·锦绣和轩,鼓楼,2,83㎡,南,,[],南京
招商1872依云华府 满二 精装修 78平,243,31154元/㎡,招商1872依云华府,栖霞,2,78㎡,南,2019年建造,"['南', '满二年', '次新房']",南京
新都雅苑 近地铁 公园旁 龙池湖畔 精装3房 随时看房 急售,119,13605元/㎡,城开新都雅苑(一期),六合,3,87.47㎡,南北,2016年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
限时好房 花漾紫郡精装 满二 S8地铁口 楼层采光佳 浦外,165,21228元/㎡,新城花漾紫郡,浦口,2,77.73㎡,南北,2018年建造,"['南北', '近地铁', '配套成熟', '价格优惠']",南京
江北核中核 地铁口 480万方地下城旁 优惠楼盘,418,39810元/㎡,保利扬子萃云台,浦口,3,105㎡,南,,"['大阳台', '双卫生间', '主卧朝南', '车位充足']",南京
亏本特卖一周 奥体 价格还可谈 南外书保 拎包住,428,49971元/㎡,升龙天汇珑悦,建邺,2,85.65㎡,南北,2018年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
拼速度 海峡城 满五年 无贷款 不占 快点抢吧 错过没了,332,43168元/㎡,海峡城云珑湾,建邺,2,76.91㎡,南北,2015年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
迈皋桥晓庄燕子矶地铁1号线海赋尚城二期满二改善型三房两卫南师,302,30404元/㎡,海赋尚城二期,栖霞,3,99.33㎡,南北,2019年建造,"['南北', '有电梯', '次新房']",南京
近 户型好小区人车分流小区素质高,338,29691元/㎡,万科金色领域,栖霞,3,113.84㎡,南,2017年建造,"['南', '满二年', '近地铁']",南京
铁建大悦城联合打造，双地铁环绕，紧靠核心区域,320,30477元/㎡,天悦风华,浦口,3,105㎡,南,,['车位充足'],南京
南北通透 93平 电梯房 满二 住房 采光好 周边商圈成熟,209,22280元/㎡,中海万锦熙岸,浦口,3,93.81㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '次新房']",南京
房源采光好，南北通透，业主诚意出,370,29605元/㎡,中铁青秀城,栖霞,3,124.98㎡,南,2016年建造,"['南', '满二年']",南京
3室2厅 满五 精装修 南北通透 看房方便 有钥匙,160,20326元/㎡,朗诗未来街区(东区),浦口,3,78.72㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
新上捡漏 业主换房急售 南北通透 价格空间大 带车位,65,7927元/㎡,仙林悦城,南京周边,3,82㎡,南北,2019年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
南北通透 3室2厅 燕舞园,185,20787元/㎡,燕舞园,栖霞,3,89㎡,南北,2013年建造,"['南北', '热门小区', '近地铁', '配套成熟']",南京
燕归苑房源采光好，南北通透，业主诚意出,168,18877元/㎡,燕江新城燕归苑,栖霞,3,89㎡,南北,2017年建造,"['南北', '唯一住房']",南京
房源采光好，南北通透，业主诚意出,186,28874元/㎡,锁金村3号小区,玄武,3,64.42㎡,南,1990年建造,"['南', '满二年', '近地铁']",南京
武定门现房 底跃带院子 秦淮河畔 来电有优惠,396,30000元/㎡,中冶锦绣珑湾,建邺,4,132㎡,南北,,"['大户型', '轨交房', '低容积']",南京
玖珑湖诚信大道，万科金域蓝湾 南北通透大两房，无遮挡采光好,311,35110元/㎡,万科金域蓝湾,江宁,2,88.58㎡,南北,2012年建造,"['南北', '满二年', '近地铁']",南京
中粮悦天地公寓41.00平52万原7折,52,12683元/㎡,中粮悦天地公寓,江宁,2,41㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
保利西江月 中海左岸澜庭 江北核心区 青奥板块 砂之船 精装,265,31078元/㎡,保利西江月,浦口,3,85.27㎡,南,2018年建造,"['南', '价格优惠', '房东急售', '随时可看']",南京
燕核新城 央企精工 双线地铁 环绕 自带会所城市公园,320,32324元/㎡,保利·燕璟和颂,栖霞,3,99㎡,南,,['车位充足'],南京
中海御山府 满二毛坯 电梯房 看房方便 有钥匙,429,31146元/㎡,中海御山府(二期),江宁,3,137.74㎡,南,2015年建造,"['南', '满二年', '车位充足']",南京
大明路 秦虹小区 靠近地铁口居家装修 价格可谈,275,32353元/㎡,康馨花园(秦淮),秦淮,3,85㎡,南北,2000年建造,"['热门小区', '南北通透', '配套成熟']",南京
天地新城 天玑座 二室二厅,192,22047元/㎡,天地新城天玑座,江宁,2,87.09㎡,南北,2005年建造,"['南北', '满五年', '车位充足']",南京
江北核心区 万科花语熙岸 抄底好房 找我团购优惠,336,34640元/㎡,中铁建·万科花语熙岸,浦口,3,97㎡,南,,"['南北通透', '厨卫全明', '动静分离', '车位充足']",南京
正南 2室1厅 豪华装修,219,31461元/㎡,北门桥路高层住宅小区,玄武,2,69.61㎡,南,1999年建造,"['南', '满五年', '近地铁']",南京
急售 燕子矶万寿双地铁口 青秀城 次新房 招商花园城旁 急售,298,33853元/㎡,中铁青秀城,栖霞,3,88.03㎡,南,2016年建造,"['南', '热门小区', '稀缺户型', '随时可看']",南京
迈皋桥晓庄一号线地铁口 城市绿洲 三房 招商花园城,268,25524元/㎡,城市绿洲花园(一期),栖霞,3,105㎡,南北,2006年建造,"['热门小区', '南北通透', '配套成熟']",南京
南北通透 满二 89平 精装修 威尼斯水城第十九街区 楼层好,155,17401元/㎡,威尼斯水城第十九街区,浦口,2,89.08㎡,南北,2019年建造,"['南北', '满二年', '次新房']",南京
央企保利燕核CBD门户标杆产品，双地铁，私享会所，公园大盘,287,32248元/㎡,保利·燕璟和颂,栖霞,3,89㎡,南,,['车位充足'],南京
房源采光好，南北通透，业主诚意出,165,23582元/㎡,万寿花苑,栖霞,2,69.97㎡,南,2003年建造,"['南', '热门小区', '南北通透', '配套成熟']",南京
百子亭后 科利华 低楼层 双南一北全明户型 带大花园 有物业,448,65815元/㎡,百子亭后小区,玄武,3,68.07㎡,南,2000年建造,"['南', '满五年', '近地铁']",南京
融侨悦城 品质次新小区 低于市场价 好楼层 找我司费用低噢~,208,23337元/㎡,融侨悦城,江宁,3,89.13㎡,南北,2019年建造,"['南北', '满二年', '次新房']",南京
急售 燕子矶67号线地铁口 招商花园城旁 海赋尚城 南师,335,34184元/㎡,海赋尚城二期,栖霞,3,98㎡,南北,2000年建造,"['热门小区', '南北通透', '配套成熟']",南京
中楼层 采光好 着急诚心卖 地下储藏室 07年房子 急售,275,36156元/㎡,旭光里小区,秦淮,2,76.06㎡,南北,2007年建造,"['南北', '满五年', '近地铁']",南京
满二 住房 南北通透 95平 2室2厅 楼层好 视野无遮挡,268,27955元/㎡,天元城,江宁,2,95.87㎡,南北,2007年建造,"['南北', '热门小区', '近地铁', '房东急售']",南京
大光路瑞金路 大3房飞机户型3阳台低市场价70W双地铁急卖,375,31178元/㎡,御道园,秦淮,3,120.28㎡,南北,2002年建造,"['热门小区', '南北通透', '配套成熟']",南京
高档小区，新出楼盘，品质好房，值得购买，有折扣优惠，先到先得,264,22957元/㎡,苏宁环球·荣锦瑞府,浦口,3,115㎡,南,,"['大户型', '多轨交', '高绿化率']",南京
尚书云邸 朝南 电梯房 采光好 周边商圈成熟 看房方便,278,32326元/㎡,尚书云邸,江宁,2,86㎡,南,2017年建造,"['南', '满二年']",南京
中央门小市 和燕园 精装修双南2房 满五年看房随时 地铁口,168,26667元/㎡,和燕园,鼓楼,2,63㎡,南,1996年建造,"['南', '近地铁', '多人关注']",南京
楼层 满二 精装修带墙暖 朝南 房间外拓,318,32606元/㎡,金地湖城艺境,栖霞,3,97.53㎡,南,2016年建造,"['南', '热门小区', '近地铁', '配套成熟']",南京
新上 地铁口 保利刚改三房 位置 中间楼层 业主急售,322,33542元/㎡,保利国际社区(一期),栖霞,3,96㎡,南,2020年建造,"['南', '满二年', '次新房']",南京
鼓楼金陵小区.中冶锦绣和轩优惠多多,332,40000元/㎡,中冶·锦绣和轩,鼓楼,2,83㎡,南,,[],南京
割肉价 必卖 东边户 ！润江城106平大三房 精装 视野无遮,426,40163元/㎡,正荣润江城,浦口,3,106.07㎡,南北,2017年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
三山街地铁口 来凤小区 铜坊苑 南北两房 万象天地 价格可谈,149,28654元/㎡,玉带园小区,秦淮,2,52㎡,南,1992年建造,"['南', '热门小区', '南北通透', '房东急售']",南京
万科金域蓝湾 高楼层 采光无遮挡 业主急售,350,39203元/㎡,万科金域蓝湾,江宁,3,89.28㎡,南北,2015年建造,"['南北', '满五年', '近地铁']",南京
新街口核心 地铁口 顶奢商圈 特惠19万 七恒科技 豪宅公寓,318,53000元/㎡,香港置地·金陵中環,秦淮,1,60㎡,南北,,['多轨交'],南京
南北通透 3室2厅 融信世纪东方 精装修,318,32122元/㎡,融筑儒林花园,栖霞,3,99㎡,南北,2017年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
南北通透 86平 莱蒙水榭阳光 精装修 居家自住 保养好,245,28243元/㎡,莱蒙水榭阳光,雨花台,3,86.75㎡,南北,2016年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
精 园88平3房高楼层居家装修业主诚心卖房可谈,318,35933元/㎡,精金花园,建邺,3,88.5㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
燕子矶1号地铁口 急降40万 南师附小附中 捡漏房,460,36800元/㎡,融创玉兰公馆二期,栖霞,4,125㎡,南北,2018年建造,"['南北', '有电梯', '次新房']",南京
江北核中核 地铁口 480万方地下城旁 优惠楼盘,418,39810元/㎡,保利扬子萃云台,浦口,3,105㎡,南,,"['大阳台', '双卫生间', '主卧朝南', '车位充足']",南京
急售！业主新房已买 价格可刀 看房随时,345,30834元/㎡,翠屏诚园(北区),江宁,4,111.89㎡,东南,2012年建造,"['东南', '热门小区', '近地铁', '房东急售']",南京
房源采光好，南北通透，业主诚意出,210,31732元/㎡,锁金六村,玄武,3,66.18㎡,南,1992年建造,"['南', '满二年', '近地铁']",南京
南北通透 2室1厅 燕升园2园 精装修,160,20513元/㎡,燕升园3园,栖霞,2,78㎡,南北,2010年建造,"['南北', '近地铁']",南京
房源采光好，南北通透，业主诚意出,345,51516元/㎡,王府园小区,秦淮,2,66.97㎡,南,1988年建造,"['南', '房东急售']",南京
仙鹤门地铁站精装修三房 南师附小科利华 业主诚售随时看房,326,36712元/㎡,奥克斯钟山府,栖霞,3,88.8㎡,南北,2016年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
栖霞金中金小 仙林湖 仙林大学城 省中 仙林金鹰,780,44016元/㎡,高科荣境2期,栖霞,5,177.21㎡,南,2015年建造,"['南', '热门小区', '近地铁', '配套成熟']",南京
中央路 地铁口 科利华 双南全明户型 装修好 带阁楼采光好,350,60387元/㎡,中央路262号住宅小区,玄武,2,57.96㎡,南,1998年建造,"['南', '满五年', '近地铁']",南京
雨花软件谷精装小户型三房 地铁口600米 通达全城,363,40787元/㎡,保利合肥城建·凤起云台,雨花台,3,89㎡,南,,"['大阳台', '户型方正', '轨交房', '车位充足']",南京
百家湖景枫金鹰 安静小区逸翠居精装三房 中间层 采光无遮挡,325,27543元/㎡,逸翠居,江宁,3,118㎡,南北,2013年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
锁金村地铁口南林校园内房源采光好，南北通透，业主诚意出,270,36805元/㎡,南林二村,玄武,3,73.36㎡,南,1989年建造,"['南', '满五年', '近地铁']",南京
降价40万 南部新城 多层洋房 豪华装修 6号线地铁 户型好,189,30994元/㎡,龙苑新寓一村,秦淮,2,60.98㎡,南北,1998年建造,"['南北通透', '满五', '房东急售']",南京
近南站 左邻右里 精装通透两房 诚心出售,269,29810元/㎡,左邻右里,江宁,2,90.24㎡,南北,2008年建造,"['近地铁', '南北通透', '价格优惠']",南京
铁建大悦城联合打造，双地铁环绕，紧靠核心区域,320,30477元/㎡,天悦风华,浦口,3,105㎡,南,,['车位充足'],南京
电梯房 86平 南北通透 满二 紫御东方(一期) 采光好 周,285,32895元/㎡,紫御东方(一期),栖霞,3,86.64㎡,南北,2018年建造,"['南北', '满二年', '车位充足']",南京
南北通透 3室2厅 乐居雅花园(二期) 精装修,279,21298元/㎡,乐居雅花园(二期),栖霞,3,131㎡,南北,2000年建造,"['南北', '有电梯', '车位充足']",南京
精装修，家里采光好，南北通透，业主诚意出,220,32263元/㎡,锁金四村,玄武,3,68.19㎡,南,1985年建造,"['南', '满五年', '近地铁']",南京
金陵星图 精装三房 配套成熟 找我看房有折扣 看房接 青奥,334,29558元/㎡,金陵星图,浦口,3,113㎡,南,,"['南北通透', '大阳台', '双卫生间']",南京
裴家桥 玄武湖旁 一楼带院子 已经开门 总价低 业主急售,205,43618元/㎡,裴家桥小区,鼓楼,2,47㎡,南北,1992年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
银城东苑中心位置 中高楼层 紫金山住宅 理工不占用 低价急售,598,45304元/㎡,银城东苑,玄武,3,132㎡,南北,2006年建造,"['南北', '配套成熟', '满五', '房东急售']",南京
一线江景 精装修地铁口 97平 南北通透 房东急卖,215,22165元/㎡,明发滨江新城(三期),浦口,2,97㎡,南北,2011年建造,"['南北', '满五年', '近地铁']",南京
亏亏 游小 金中 肯德基 创维乐活城89平67万3室2厅1卫,67,7529元/㎡,创维乐活城,溧水,3,89㎡,南北,2020年建造,"['南北', '热门小区', '价格优惠', '随时可看']",南京
金浦御龙湾 第二十九中旁,385,31558元/㎡,金浦御龙湾,栖霞,3,122㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '轨交房']",南京
捡漏 金地中心风华 自住大三房 看房方便 采光无遮挡 急售,599,49505元/㎡,金地中心风华,建邺,3,121㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
地铁口 精装修3室2厅 满五 住房 天润城12街区 随时看,148,18124元/㎡,天润城第十二街区,浦口,3,81.66㎡,南北,2012年建造,"['南北', '满五年', '近地铁']",南京
53万 简单装修 2室1厅 65平 满五 看房方便 有钥匙,62.5,9616元/㎡,江畔人家丽江苑,栖霞,2,65㎡,南北,2012年建造,"['南北', '满五年']",南京
玄武湖畔 中央门小市地铁口 满五 精装3室 地下室有钥匙,260,33402元/㎡,泰和园,鼓楼,3,77.84㎡,南北,2004年建造,"['热门小区', '南北通透', '配套成熟']",南京
新城香悦澜山房源采光好，南北通透，,328,35946元/㎡,新城香悦澜山,栖霞,3,91.25㎡,南,2016年建造,"['南', '满二年', '近地铁']",南京
燕子矶地铁口 保利国际社区 毛坯大四房 通透户型,419,31471元/㎡,保利国际社区(一期),栖霞,4,133.14㎡,南,2020年建造,"['南', '满二年', '次新房']",南京
南北通透 清凉山庄 2室1厅 74平 满五 住房 楼层好,438,58432元/㎡,清凉山庄,鼓楼,2,74.96㎡,南北,1992年建造,"['南北', '满五年', '近地铁']",南京
来电有优惠 江北新区 精装低密度洋房 现房 即住,336,28000元/㎡,金隅紫京叠院(新房),浦口,3,120㎡,南,,"['南北通透', '双卫生间', '低容积']",南京
老山板块 刚需三房 好楼层 价格美丽 配套齐全 急售,185,22003元/㎡,万科璞悦山,浦口,3,84.08㎡,南,2016年建造,"['南', '满二年', '次新房']",南京
刚需三房 豪华装修 南北通透 直通地下车库 看房方便,155,16848元/㎡,南京碧桂园语林苑,滨江开发区,3,92㎡,南北,2016年建造,"['南北', '满二年']",南京
精装修 2室1厅 82平 天元城 朝南 楼层好 视野无遮挡,234,28320元/㎡,天元城,江宁,2,82.63㎡,南,2007年建造,"['南', '热门小区', '近地铁', '房东急售']",南京
视野开阔，采光好，南北通透，业主诚意出,380,38788元/㎡,保利中央公园东苑,江宁,3,97.97㎡,南,2017年建造,"['南', '有电梯', '近地铁']",南京
一线江景 燕矶核心 5套内部高管保留房 团购优惠 详情请私聊,344,36990元/㎡,宝能滨江府(新房),栖霞,3,93㎡,南,,"['南北通透', '厨卫全明', '双阳台', '车位充足']",南京
中南好房急售！112平，精装，3室1卫，好楼层，135万！,135,12084元/㎡,中南锦城,溧水,3,111.72㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
定坊和苑 刚需 毛坯二房朝南 出入方便 随时看房换房急售,152,19000元/㎡,定坊和苑C区,雨花台,2,80㎡,南北,2016年建造,"['南北', '满五年', '多人关注']",南京
新立嘉园 102平 电梯房 精装修 采光好 周边商圈成熟,185,17962元/㎡,新立嘉园,浦口,3,103㎡,南北,2019年建造,"['南北', '有电梯', '次新房']",南京
特价房 龙湖天曜 精装修三房 龙湖天街旁 看房随时 车接车,340,29566元/㎡,龙湖天曜城,浦口,3,115㎡,南,,"['大户型', '轨交房', '车位充足']",南京
业主已买房 340就能卖 满两年 看房有密码,355,38168元/㎡,高科荣境2期,栖霞,3,93.01㎡,南北,2000年建造,"['南北', '满二年', '近地铁']",南京
拼速度 海峡城 满五年 无贷款 不占 快点抢吧 错过没了,332,43168元/㎡,海峡城云珑湾,建邺,2,76.91㎡,南北,2015年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
真 迈皋桥燕子矶1号线地铁口 次新房 融创玉兰旁 急售,286,31364元/㎡,保利国际社区(二期),栖霞,3,91.19㎡,南,2020年建造,"['南', '满二年', '次新房']",南京
