标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签,城市
下马坊公园 东郊美树苑 小区中心位置 采光好 装修保养好,588,45065元/㎡,东郊美树苑,玄武,3,130.48㎡,南,2007年建造,"['南', '满五年', '近地铁']",南京
精研品质 八大价值成就仙林 铸就顶流,375,30000元/㎡,牡丹大观天下,栖霞,4,125㎡,南,,"['南北通透', '厨卫全明', '大阳台', '轨交房']",南京
河西万达板块次新房出售 精装修 中央空调 采光充足 诚心出售,335,37641元/㎡,精金花园,建邺,3,89㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
迈皋桥街79号 地铁口200米 捡漏好房 超市 商业街 公园,149,24154元/㎡,迈皋桥街79号小区,栖霞,3,61.69㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
湖景 景观房，业主换房出售，豪装40万免费 ，价格能谈,460,33802元/㎡,金地湖城艺境,栖霞,4,136.09㎡,南北,2016年建造,"['南北', '稀缺户型', '价格优惠', '房东急售']",南京
新上捡漏 业主换房急售 南北通透 价格空间大 带车位,65,7927元/㎡,仙林悦城,南京周边,3,82㎡,南北,2019年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
碧桂园顶楼大露台127平 精装修 高层景观好 可随时看房,215,16871元/㎡,南京碧桂园逸谷苑,滨江开发区,3,127.44㎡,南北,2017年建造,"['南北', '满五年']",南京
仙林湖 万达茂商圈 地铁旁 高科荣境精装三房 价格可谈 急售,365,38996元/㎡,高科荣境2期,栖霞,3,93.6㎡,南北,2017年建造,"['南北', '满二年', '近地铁']",南京
正荣润峯四期175平大四房河西南小仁恒 南外 旁 950万,916,52508元/㎡,正荣润峯,建邺,4,174.45㎡,南北,2018年建造,"['南北', '热门小区', '近地铁', '房东急售']",南京
燕子矶新城，未来可期,362,33519元/㎡,颐居华发 颐和四季府,栖霞,3,108㎡,南,,['车位充足'],南京
南北通透 满五 天润城第十街区 换房急售 3号线,141,15843元/㎡,天润城第十街区,浦口,3,89㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
房源采光好，南北通透，业主诚意出,367,37461元/㎡,保利中央公园东苑,江宁,3,97.97㎡,南,2017年建造,"['南', '满二年', '近地铁']",南京
坐下再让20万！跌破开盘价！大拇指急售西北角边户大两房！,279,32292元/㎡,证大大拇指广场,鼓楼,2,86.4㎡,西北,2017年建造,"['西北', '热门小区', '南北通透', '配套成熟']",南京
燕核新城 央企精工 双线地铁 环绕 自带会所城市公园,320,32324元/㎡,保利·燕璟和颂,栖霞,3,99㎡,南,,['车位充足'],南京
新街口鼓楼珠江路地铁丹凤街长江路北门桥电梯房精,218,30278元/㎡,北门桥路高层住宅小区,玄武,2,72㎡,东西,1998年建造,"['东西', '满五年', '近地铁']",南京
燕子矶迈皋桥小高层满两年改善三房次顶楼采光 看房有钥匙,292,33111元/㎡,金浦御龙湾H区,栖霞,3,88.19㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
燕子矶新城 中海燕矶听潮 四室二厅 精装,428,33438元/㎡,中海燕矶听潮C区,栖霞,4,128㎡,南北,2021年建造,"['南北', '车位充足']",南京
江北核心区 三线地铁 育英二外 特惠9万 央企精装 万科物业,336,34640元/㎡,中铁建·万科花语熙岸,浦口,3,97㎡,南,,"['厨卫全明', '车位充足']",南京
南北通透 5室2厅 银城东苑 精装修,658,31905元/㎡,银城东苑,玄武,5,206.24㎡,南北,2005年建造,"['热门小区', '南北通透', '配套成熟']",南京
急售 燕子矶万寿双地铁口 青秀城 次新房 招商花园城旁 急售,298,33853元/㎡,中铁青秀城,栖霞,3,88.03㎡,南,2016年建造,"['南', '热门小区', '稀缺户型', '随时可看']",南京
旭升花苑 非 顶楼 精装两房 急卖 有钥匙 随时看,118,13721元/㎡,旭升花苑,六合,2,86㎡,南北,2006年建造,"['南北', '满五年', '近地铁']",南京
正南 3室2厅 银城东苑 精装修,610,42694元/㎡,银城东苑,玄武,3,142.88㎡,南,2005年建造,"['南', '满二年', '近地铁']",南京
央企保利燕核CBD门户标杆产品，双地铁，私享会所，公园大盘,287,32248元/㎡,保利·燕璟和颂,栖霞,3,89㎡,南,,['车位充足'],南京
紫艺华府 精装修 3室1厅 电梯房 90平 诚心出售 价格可,163,18112元/㎡,紫艺华府,六合,3,90㎡,南,2019年建造,"['南', '满二年', '车位充足']",南京
建邺区铂悦金陵4室2厅2卫1厨1阳台,1100,61927元/㎡,北辰旭辉铂悦金陵,建邺,4,177.63㎡,南北,2016年建造,"['南北', '热门小区', '稀缺户型', '房东急售']",南京
S6 麒麟紫荆城定林苑 精装修二室一厅周边的生活配套齐全,89,13693元/㎡,麒麟紫荆城定林苑,江宁,2,65㎡,南北,2016年建造,"['南北', '价格优惠', '房东急售', '随时可看']",南京
急售 燕子矶67号线地铁口 招商花园城旁 海赋尚城 南师,335,34184元/㎡,海赋尚城二期,栖霞,3,98㎡,南北,2000年建造,"['热门小区', '南北通透', '配套成熟']",南京
花样年家天下 南北通透 户型方正 适宜居住,87.8,9866元/㎡,花样年家天下兰苑,溧水,3,89㎡,南北,2019年建造,"['南北', '满二年', '车位充足']",南京
中央门 小市 三号线 泰和园 双南电梯房 楼层好 看房方便,246,26676元/㎡,泰和园,鼓楼,2,92.22㎡,南,2001年建造,"['南', '满五年', '近地铁']",南京
一号线 兰亭雅苑 小区 银城物业 品质小区,318,35193元/㎡,兰亭雅苑,栖霞,3,90.36㎡,南北,2010年建造,"['南北', '满二年', '近地铁']",南京
高档小区，新出楼盘，品质好房，值得购买，有折扣优惠，先到先得,264,22957元/㎡,苏宁环球·荣锦瑞府,浦口,3,115㎡,南,,"['大户型', '多轨交', '高绿化率']",南京
捡漏捡漏！业主急售 出价就谈！楼层好，阳光不挡！,469,39188元/㎡,银城东苑,玄武,3,119.68㎡,南,2008年建造,"['南', '满五年', '近地铁']",南京
77平 3室2厅 新城花漾紫郡 满二 住房 精装修 采光好,170,21849元/㎡,新城花漾紫郡,浦口,3,77.81㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
楼层 满二 精装修带墙暖 朝南 房间外拓,318,32606元/㎡,金地湖城艺境,栖霞,3,97.53㎡,南,2016年建造,"['南', '热门小区', '近地铁', '配套成熟']",南京
中航樾府 企业力荐诚意出售,350,41177元/㎡,中航樾府,江宁,3,85㎡,南北,2014年建造,"['南北', '满二年', '近地铁']",南京
鼓楼金陵小区.中冶锦绣和轩优惠多多,332,40000元/㎡,中冶·锦绣和轩,鼓楼,2,83㎡,南,,[],南京
燕子矶1号 地铁口 边户 双阳台 金浦紫御东方 燕江府满2年,298,33484元/㎡,招商1872依云和府,栖霞,3,89㎡,南,2018年建造,"['南', '满五年', '次新房']",南京
正南 3室1厅 康安里住宅区 精装修,325,35900元/㎡,康安里住宅区,秦淮,3,90.53㎡,南,2000年建造,"['南', '满五年']",南京
喜之郎丽湖湾 朝南 3室2厅 诚心出售 价格可议 环境好,94.5,8575元/㎡,喜之郎丽湖湾,溧水,3,110.21㎡,南,2020年建造,"['南', '热门小区', '稀缺户型', '交易周期可谈']",南京
新街口核心 地铁口 顶奢商圈 特惠19万 七恒科技 豪宅公寓,318,53000元/㎡,香港置地·金陵中環,秦淮,1,60㎡,南北,,['多轨交'],南京
花园小区莱茵东郡三室两厅换房急售看房方便,298,25914元/㎡,莱茵东郡,江宁,3,115㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
南北通透 86平 莱蒙水榭阳光 精装修 居家自住 保养好,245,28243元/㎡,莱蒙水榭阳光,雨花台,3,86.75㎡,南北,2016年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
低总价 看房方便 有钥匙 2楼采光没问题,289,26531元/㎡,万达紫金明珠,秦淮,3,108.93㎡,南北,2000年建造,"['南北', '满二年']",南京
拒绝虚假 全明户型双南 9中不占 有钥匙随时看房 红庙 低楼,228,44445元/㎡,相府营小区,玄武,2,51.3㎡,南北,1992年建造,"['南北', '近地铁']",南京
江北核中核 地铁口 480万方地下城旁 优惠楼盘,418,39810元/㎡,保利扬子萃云台,浦口,3,105㎡,南,,"['大阳台', '双卫生间', '主卧朝南', '车位充足']",南京
油坊桥莲花北苑 简单装修 满二 朝南 采光好 周边商圈成熟,193,21686元/㎡,莲花新城北苑,建邺,2,89㎡,南,2000年建造,"['南', '房东急售', '交易周期可谈', '随时可看']",南京
新上房源 天润城十二街区 全新精装修两房 采光好 地铁3号线,135,17592元/㎡,天润城第十二街区,浦口,2,76.74㎡,南北,2012年建造,"['南北', '近地铁', '多人关注']",南京
人气挑高loft公寓 地铁1号线交院站旁 现房租3000以上,52,11556元/㎡,中粮悦天地公寓,江宁,2,45㎡,南,2020年建造,"['南', '满二年', '近地铁', '次新房']",南京
房源采光好，南北通透，业主诚意出,345,51516元/㎡,王府园小区,秦淮,2,66.97㎡,南,1988年建造,"['南', '房东急售']",南京
满二 3室2厅 98平 荣盛花语城(二期) 精装修 诚心出售,125,12756元/㎡,荣盛花语城(二期),六合,3,98㎡,南,2019年建造,"['南', '满二年', '车位充足']",南京
燕子矶招商，电梯边户三房，景观花园，诚心卖，品质小区环境好,309,34806元/㎡,招商1872依云华府,栖霞,3,88.78㎡,南,2017年建造,"['南', '满二年']",南京
宋都南郡（不靠高速）业主急售！百米吾悦广场！速来电咨询！,206,23557元/㎡,宋都南郡(北区),雨花台,3,87.45㎡,南北,2019年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
雨花软件谷精装小户型三房 地铁口600米 通达全城,363,40787元/㎡,保利合肥城建·凤起云台,雨花台,3,89㎡,南,,"['大阳台', '户型方正', '轨交房', '车位充足']",南京
房源采光好，南北通透，业主诚意出,305,35598元/㎡,保利罗兰香谷,栖霞,3,85.68㎡,南,2015年建造,"['南', '满二年', '近地铁']",南京
14街区 正规三房 装修不好 所以便宜 地铁口 降价急售,140,15547元/㎡,天润城第十四街区,浦口,3,90.05㎡,南北,2014年建造,"['南北', '满五年', '近地铁']",南京
降价40万 南部新城 多层洋房 豪华装修 6号线地铁 户型好,189,30994元/㎡,龙苑新寓一村,秦淮,2,60.98㎡,南北,1998年建造,"['南北通透', '满五', '房东急售']",南京
马群花港幸福城 玉兰园 二室一厅 边户 产权房可过户可贷款,120,17648元/㎡,花港幸福城玉兰园,栖霞,2,68㎡,南北,2014年建造,"['南北', '满五年']",南京
铁建大悦城联合打造，双地铁环绕，紧靠核心区域,320,30477元/㎡,天悦风华,浦口,3,105㎡,南,,['车位充足'],南京
紫艺华府 中上楼层 95平米 诚售 看中可谈,143.5,15106元/㎡,紫艺华府,六合,3,95㎡,南北,2017年建造,"['南北', '满二年', '车位充足']",南京
金地自在城 速电 捡漏60万 速电(就这一套）百米吾悦广场,158,16289元/㎡,金地自在城(六期),雨花台,3,97㎡,南北,2015年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
紫金华府 五矿旁 电梯花园洋房 挨着紫金山 北京东路科利华,480,44949元/㎡,紫金华府(一期),玄武,3,106.79㎡,南北,2017年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
金陵星图 精装三房 配套成熟 找我看房有折扣 看房接 青奥,334,29558元/㎡,金陵星图,浦口,3,113㎡,南,,"['南北通透', '大阳台', '双卫生间']",南京
小刚需 必看 两南一北飞机户型 无浪费面积 采光无影响,311,34819元/㎡,融筑儒林花园,栖霞,3,89.32㎡,南北,2020年建造,"['南北', '近地铁', '车位充足']",南京
银城东苑中心位置 中高楼层 紫金山住宅 理工不占用 低价急售,598,45304元/㎡,银城东苑,玄武,3,132㎡,南北,2006年建造,"['南北', '配套成熟', '满五', '房东急售']",南京
85平 科海龙湖御景 精装修 南北通透 电梯房 3室2厅,96,11268元/㎡,科海龙湖御景,六合,3,85.2㎡,南北,2010年建造,"['南北', '满二年', '近地铁']",南京
万科城月桂苑93.58平119万3室2厅1卫,119.8,12802元/㎡,万科城月桂苑,溧水,3,93.58㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
金浦御龙湾 第二十九中旁,385,31558元/㎡,金浦御龙湾,栖霞,3,122㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '轨交房']",南京
恒大金碧天下前排景观三房拎包急售,77,6638元/㎡,恒大金碧天下,溧水,3,116㎡,南,2013年建造,"['南', '南北通透', '价格优惠', '随时可看']",南京
将军大道 翠屏东南一楼好房 业主诚售 价格可谈 近南航靠南站,275,26809元/㎡,翠屏东南,江宁,2,102.58㎡,南北,2005年建造,"['南北', '近地铁']",南京
满五 住房 电梯房 3室2厅 南北通透 诚心出售 价格可议,175,16431元/㎡,威尼斯水城第十三街区,浦口,3,106.51㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '车位充足']",南京
玄武湖畔 中央门小市地铁口 满五 精装3室 地下室有钥匙,260,33402元/㎡,泰和园,鼓楼,3,77.84㎡,南北,2004年建造,"['热门小区', '南北通透', '配套成熟']",南京
东水关公园采光佳满五精装看房随时,475,41667元/㎡,东城水岸,秦淮,3,114㎡,南北,2004年建造,"['南北', '热门小区', '稀缺户型', '房东急售']",南京
九龙湖房主狂甩高品质好房90.8平348万万科金域蓝湾精装修,348,38680元/㎡,万科金域蓝湾,江宁,3,89.97㎡,南,2019年建造,"['南', '满二年', '近地铁', '次新房']",南京
湖滨公寓四房 百家湖 地铁口 南北通透中楼层 总价低,278,21719元/㎡,湖滨公寓(西区),江宁,4,128㎡,南北,2000年建造,"['南北', '近地铁', '配套成熟', '价格优惠']",南京
来电有优惠 江北新区 精装低密度洋房 现房 即住,336,28000元/㎡,金隅紫京叠院(新房),浦口,3,120㎡,南,,"['南北通透', '双卫生间', '低容积']",南京
北小科利华低总价南北通透3室2厅电梯房满二89平价格可谈,103,11453元/㎡,荣盛花语城(四期),六合,3,89.94㎡,南北,2019年建造,"['南北', '满二年', '车位充足']",南京
血亏 游小 金中 创维文汇苑83.19平68万3室2厅1卫,68,8175元/㎡,创维文汇苑,溧水,3,83.19㎡,南,2019年建造,"['南', '有电梯', '车位充足']",南京
精装修 2室1厅 82平 天元城 朝南 楼层好 视野无遮挡,234,28320元/㎡,天元城,江宁,2,82.63㎡,南,2007年建造,"['南', '热门小区', '近地铁', '房东急售']",南京
新街口莫愁路朝天宫 黄鹂新村 一楼 两房 精装 带院 采光佳,196.8,41336元/㎡,黄鹂新村,秦淮,2,47.61㎡,南北,1990年建造,"['热门小区', '南北通透', '配套成熟']",南京
一线江景 燕矶核心 5套内部高管保留房 团购优惠 详情请私聊,344,36990元/㎡,宝能滨江府(新房),栖霞,3,93㎡,南,,"['南北通透', '厨卫全明', '双阳台', '车位充足']",南京
燕子矶 加车位 满二 住房 电梯房 电建洺悦府(二期),365,28077元/㎡,电建洺悦府(二期),栖霞,4,130㎡,南,2020年建造,"['南', '满二年', '次新房']",南京
龙池翠洲 中层 精装三房 金陵中 出门龙池湖 换房急售,105,11117元/㎡,龙池翠洲,六合,3,94.45㎡,南北,2014年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
旭日上城三期 3室2厅 280万元 精装,280,25287元/㎡,弘阳旭日上城三区,浦口,3,110.73㎡,南,2015年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
特价房 龙湖天曜 精装修三房 龙湖天街旁 看房随时 车接车,340,29566元/㎡,龙湖天曜城,浦口,3,115㎡,南,,"['大户型', '轨交房', '车位充足']",南京
房源采光好，南北通透，业主诚意出,310,34946元/㎡,中铁青秀城,栖霞,3,88.71㎡,南,2016年建造,"['南', '满二年']",南京
拼速度 海峡城 满五年 无贷款 不占 快点抢吧 错过没了,332,43168元/㎡,海峡城云珑湾,建邺,2,76.91㎡,南北,2015年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
7号线 省医院 南湖公园 一楼带院子 采光好,178,34185元/㎡,安民村,建邺,2,52.07㎡,南北,2018年建造,"['南北', '满五年', '近地铁', '次新房']",南京
急售！林山雅苑 电梯房 满二 101平 房东急置换 诚意买房,89,8812元/㎡,林山雅苑,浦口,3,101㎡,南北,2014年建造,"['南北', '热门小区', '配套成熟']",南京
精研品质 八大价值成就仙林 铸就顶流,375,30000元/㎡,牡丹大观天下,栖霞,4,125㎡,南,,"['南北通透', '厨卫全明', '大阳台', '轨交房']",南京
新出银城东苑揽翠苑 3室2厅 精装修 居家自住 保养好,605,45841元/㎡,银城东苑,玄武,3,131.98㎡,南北,2005年建造,"['南北', '满五年', '近地铁']",南京
满二 3室2厅 精装修 南北通透 房东急置换 诚意买房,140,15054元/㎡,横岭新寓,江宁,3,93㎡,南北,2008年建造,"['南北', '满二年']",南京
茉莉苑四室两厅，全屋精装修，南北通透采光好，环境好,172,12464元/㎡,荣盛茉莉苑,六合,4,138㎡,南北,2011年建造,"['南北', '满二年', '绿化率高']",南京
新上捡漏 业主换房急售 南北通透 价格空间大 带车位,65,7927元/㎡,仙林悦城,南京周边,3,82㎡,南北,2019年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
真 格 富力尚悦居精装大三房靠金陵华兴中 价格可谈,228,22737元/㎡,富力尚悦居(一期),雨花台,3,100.28㎡,南北,2017年建造,"['南北', '满五年']",南京
72平 简单装修 电梯房 朝南 2室1厅 采光超好，急售,125,17362元/㎡,燕江新城燕雅苑,栖霞,2,72㎡,南,2017年建造,"['南', '热门小区', '近地铁', '南北通透']",南京
紫峰公馆 3室2厅 电梯房 南北通透 精装修 楼层好,340,29566元/㎡,紫峰公馆,江宁,3,115㎡,南北,2014年建造,"['南北', '热门小区', '配套成熟', '满五']",南京
燕子矶新城，未来可期,362,33519元/㎡,颐居华发 颐和四季府,栖霞,3,108㎡,南,,['车位充足'],南京
房源采光好，南北通透，业主诚意出,110,12346元/㎡,弘阳禹洲时光印象,滨江开发区,3,89.1㎡,南,2017年建造,"['南', '热门小区', '近地铁', '房东急售']",南京
86平 满五 住房 简单装修 南北通透 楼层好 视野无遮挡,147,17094元/㎡,南湾营馨康苑,栖霞,3,86㎡,南北,2008年建造,"['南北', '满五年']",南京
廖家巷 科利华 2室一厅 低楼层 南北通透 拎包入住 急售,279,57056元/㎡,廖家巷社区,玄武,2,48.9㎡,南,1988年建造,"['南', '满五年', '近地铁']",南京
城北燕子矶新城核心 华发四季雅筑 热销盘 自带20万方商业,300,30304元/㎡,华发·四季雅筑,栖霞,3,99㎡,南,,"['双卫生间', '双阳台', '购物中心', '高绿化率']",南京
正南 2室1厅 苜卫路35号小区 精装修,210,33318元/㎡,苜卫路35号小区,秦淮,2,63.03㎡,南,2000年建造,"['南', '热门小区', '南北通透', '配套成熟']",南京
青秀城小区环境好，物业负责，采光充足，交通便利,278,31591元/㎡,中铁青秀城,栖霞,2,88㎡,南,2016年建造,"['南', '满二年']",南京
燕子矶核心地段 三开间朝南 价格可谈 看房方便,320,34708元/㎡,弘阳燕江府,栖霞,3,92.2㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
城北燕子矶新城核心 华发四季雅筑 热销盘 自带20万方商业,300,25000元/㎡,华发·四季雅筑,栖霞,3,120㎡,南,,"['双卫生间', '双阳台', '大户型', '购物中心']",南京
秦虹小区 中和桥 御水湾大两房 朝南带阳台 价格可谈 有钥匙,362,40466元/㎡,御水湾(东区),秦淮,2,89.46㎡,南,2004年建造,"['南', '满二年']",南京
急售 燕子矶万寿双地铁口 青秀城 次新房 招商花园城旁 急售,298,33853元/㎡,中铁青秀城,栖霞,3,88.03㎡,南,2016年建造,"['南', '热门小区', '稀缺户型', '随时可看']",南京
顶山大新嘉苑135.00万元大新嘉苑好房不要错过,135,15341元/㎡,大新嘉苑,浦口,2,88㎡,南北,2020年建造,"['南北通透', '配套成熟', '稀缺户型']",南京
满二 精装修 3室2厅 99平 房东急置换 诚意买房,301,30405元/㎡,融筑儒林花园,栖霞,3,99㎡,南,2019年建造,"['南', '满二年', '近地铁']",南京
五一购房节，特价 南京万达茂 仙林湖 4号地铁口 欢迎咨询,355,35859元/㎡,电建建发·兰亭和颂,栖霞,3,99㎡,南,,"['南北通透', '三房朝南', '大阳台', '轨交房']",南京
新上万达茂湖景房！全新装修未入住 省中医旁 金中金小随时看,295,30413元/㎡,万达茂御湖仕家三期,栖霞,3,97㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
融筑儒林花园 朝南 满二 电梯房 精装修 3室2厅 房东急置,301,30405元/㎡,融筑儒林花园,栖霞,3,99㎡,南,2018年建造,"['南', '满二年', '近地铁']",南京
科利华 南师附小 精装品质小区绿化高 安保严密 地铁口,470,50495元/㎡,中海玄武公馆C区,玄武,3,93.08㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
急售 燕子矶67号线地铁口 招商花园城旁 海赋尚城 南师,335,34184元/㎡,海赋尚城二期,栖霞,3,98㎡,南北,2000年建造,"['热门小区', '南北通透', '配套成熟']",南京
新出！威尼斯十九街区 飞机户全南户型 全天采光 房主诚心出售,135,15169元/㎡,威尼斯水城第十九街区,浦口,2,89㎡,南北,2020年建造,"['南北', '满二年', '次新房']",南京
满五 南北通透 2室1厅 马府新村 精装修,195,36490元/㎡,马府新村,秦淮,2,53.44㎡,南北,1991年建造,"['热门小区', '南北通透', '配套成熟']",南京
新出好房 业主诚心急售已买到好房 品牌家具家电 拎包直住,320,30477元/㎡,万达茂御湖仕家三期,栖霞,3,105㎡,南北,2017年建造,"['南北', '满二年', '近地铁']",南京
燕核新城 央企精工 双线地铁 环绕 自带会所城市公园,320,32324元/㎡,保利·燕璟和颂,栖霞,3,99㎡,南,,['车位充足'],南京
建邺区宏图上水云锦二期3室2厅1卫1厨1阳台,800,71917元/㎡,宏图上水云锦二期,建邺,3,111.24㎡,南北,2016年建造,"['南北', '热门小区', '近地铁', '新上小区']",南京
高新花苑单价一万五，地铁500多米 南北通透精装2居室,136,15478元/㎡,高新花苑,浦口,2,87.87㎡,南北,2008年建造,"['南北', '满五年', '近地铁']",南京
楼层 满二 精装修带墙暖 朝南 房间外拓,318,32606元/㎡,金地湖城艺境,栖霞,3,97.53㎡,南,2016年建造,"['南', '热门小区', '近地铁', '配套成熟']",南京
！房东急售！,89,9976元/㎡,万科未来城,溧水,3,89.22㎡,南,2022年建造,"['南', '有电梯', '近地铁', '车位充足']",南京
特价房 龙湖天曜 精装修三房 龙湖天街旁 看房随时 车接车,340,29566元/㎡,龙湖天曜城,浦口,3,115㎡,南,,"['大户型', '轨交房', '车位充足']",南京
急售 燕子矶6号7号线地铁口招商花园城 随时看 保利旁万象,335,38954元/㎡,招商1872依云华府,栖霞,3,86㎡,南,2019年建造,"['南', '有电梯', '次新房']",南京
万科翡翠公园 全屋定制 满5 空置 保养好中间楼层,396,43632元/㎡,万科翡翠公园,江宁,3,90.76㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
主打真实 洺悦府二期 小高层三房 诚心出售 拎包入住,285,27143元/㎡,电建洺悦府(二期),栖霞,3,105㎡,南,2020年建造,"['南', '满二年', '次新房']",南京
央企保利燕核CBD门户标杆产品，双地铁，私享会所，公园大盘,287,32248元/㎡,保利·燕璟和颂,栖霞,3,89㎡,南,,['车位充足'],南京
正南 2室1厅 企业力荐好房诚意出售,142,21516元/㎡,凤来北园,栖霞,2,66㎡,南,2019年建造,"['南', '热门小区', '近地铁', '新上小区']",南京
